"dataid","total_amount_of_pv","pv_panel_direction","amount_of_south_facing_pv","amount_of_west_facing_pv","amount_of_east_facing_pv"
77,"3.7","South;West","1.085","1.085",NULL
93,"6.105","South","6.105","0.0",NULL
114,"3.5",NULL,NULL,NULL,NULL
171,"6.25","West",NULL,"6.25",NULL
187,"5.25","West",NULL,"5.25",NULL
252,"5.145","South;West","2.205","2.94",NULL
364,"6.25","South","6.25","0.0",NULL
370,"6.105","South;West","2.035","4.07",NULL
379,NULL,NULL,NULL,NULL,NULL
483,"5.76","South;West","2.88","2.88","0.0"
499,NULL,NULL,NULL,NULL,NULL
545,"3.15","South;West","1.4","1.75",NULL
585,"4.995","West",NULL,"4.995",NULL
624,"4.5",NULL,NULL,NULL,NULL
661,"6.3","South","6.3",NULL,NULL
668,"6.37","South;West","3.92","2.45",NULL
744,"5.92","South","5.92","0.0",NULL
781,"5.8",NULL,NULL,NULL,NULL
861,"4.25","South","4.25","0.0",NULL
890,"6.25","South","6.25","0.0",NULL
936,"2.6",NULL,NULL,NULL,NULL
974,"6.5",NULL,NULL,NULL,NULL
1103,"3.92","South;West","1.715","2.205",NULL
1169,"3.885","South","3.885","0.0","0.0"
1185,"7.215","South;West","4.995","2.22",NULL
1192,"6.25","South;West","3.25","3.0",NULL
1283,"6.5","West;East",NULL,"2.0","4.5"
1415,"3.885","South;West","1.85","2.035",NULL
1642,"6.37","South;West","3.43","2.94",NULL
1697,"5.98","South;West","3.68","2.3",NULL
1714,"5.6",NULL,NULL,NULL,NULL
1718,"5.88","South;West","2.45","3.43",NULL
1790,"6.37","South;West","3.43","2.94",NULL
1791,"5.98","South","5.98",NULL,NULL
1792,"6.25","South;West","4.0","2.25",NULL
1800,"9.99","South;West","4.995","4.995",NULL
1801,"12.425",NULL,NULL,NULL,NULL
2018,"7.8","South;West","4.68","3.12",NULL
2072,"5.0","South;West","2.25","2.75",NULL
2094,"6.105","South;West","2.035","4.07",NULL
2129,"6.25","South;West","4.0","2.25",NULL
2199,"4.995","South","4.995","0.0","0.0"
2233,"6.25","South","6.25","0.0",NULL
2335,"5.92","South;West","4.44","1.48",NULL
2337,"4.995","South","4.995","0.0",NULL
2361,NULL,NULL,NULL,NULL,NULL
2449,"4.75","South","4.75","0.0",NULL
2461,"8.175","South","8.175",NULL,NULL
2470,"3.5","South","3.5","0.0",NULL
2557,"5.17",NULL,NULL,NULL,NULL
2575,"6.25","South","6.25","0.0",NULL
2638,"4.655","South","4.655","0.0",NULL
2742,"6.125","South;West","2.205","3.92",NULL
2755,"6.125","South;West",NULL,"2.94",NULL
2814,"6.21","West",NULL,"6.21",NULL
2818,"5.39","South;West","2.695","2.695",NULL
2925,"6.105","South;East","4.07","0.0","2.035"
2945,"5.145","South;West",NULL,"2.035",NULL
2965,"6.345","South;West","3.92","3.055",NULL
2980,"5.145","South;West","2.94","2.205",NULL
2986,"6.25","South;West","4.0","2.25",NULL
3009,"6.25","South","6.25",NULL,NULL
